date,link,titles,news_date,category
https://www.nytimes.com/issue/todayspaper/2019/04/05/todays-new-york-times,/2019/04/04/nyregion/homeless-buildings-sold-de-blasio-democrats.html,Landlords Get a $173 Million Deal From City as Their Lawyer Raises Funds for de Blasio,2019/04/05,nyregion
https://www.nytimes.com/issue/todayspaper/2019/04/05/todays-new-york-times,/2019/04/04/sports/notre-dame-uconn-final-four-arike-ogunbowale.html,"Arike Ogunbowale Strives for Greater Fame. But First, Another Title.",2019/04/05,sports
https://www.nytimes.com/issue/todayspaper/2019/04/05/todays-new-york-times,/2019/04/04/business/economy-manufacturing-jobs-trump.html,"Manufacturing Surge, a Boon for Trump, May Be Fading",2019/04/05,business
https://www.nytimes.com/issue/todayspaper/2019/04/05/todays-new-york-times,/interactive/2019/04/02/climate/pricing-carbon-emissions.html,These Countries Have Prices on Carbon. Are They Working?,2019/04/05,climate
https://www.nytimes.com/issue/todayspaper/2019/04/05/todays-new-york-times,/2019/04/04/theater/king-lear-review-glenda-jackson.html,Review: Glenda Jackson Rules a Muddled World in ‘King Lear’,2019/04/05,theater
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/business/economy/trump-fed-interest-rates.html,Trump Says Fed Should Cut Rates and Lift Economy,2019/04/06,business
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/us/politics/guantanamo-trials-torture.html,Guantánamo Trials Grapple With How Much Evidence to Allow About Torture,2019/04/06,us
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/us/politics/trump-tax-returns.html,Trump Lawyer Asserts President’s Right to Keep Tax Returns Private,2019/04/06,us
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/interactive/2019/04/03/world/white-extremist-terrorism-christchurch.html,Attacks by White Extremists Are Growing. So Are Their Connections.,2019/04/06,world
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/business/china-trade-trump-jobs-decoupling.html,One Trump Victory: Companies Rethink China,2019/04/06,business
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/business/media/lil-nas-x-billy-ray-cyrus-billboard.html,Lil Nas X Added Billy Ray Cyrus to ‘Old Town Road.’ Is It Country Enough for Billboard Now?,2019/04/06,business
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/health/military-mindfulness-training.html,The Latest in Military Strategy: Mindfulness,2019/04/06,health
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/06/world/africa/rwanda-genocide-25-years.html,Rwanda Marks 25 Years Since the Genocide. The Country Is Still Grappling With Its Legacy.,2019/04/06,world
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/world/americas/us-mexico-border-delays.html,‘Catastrophic’ Delays at U.S.-Mexico Border Follow Redeployment of Agents,2019/04/06,world
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/business/herman-cain-federal-reserve.html,Herman Cain Opens a New #MeToo Minefield for Republicans,2019/04/06,business
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/us/politics/joe-biden-controversy.html,"Joe Biden Jokes About Hugging in a Speech, Then Offers a Mixed Apology",2019/04/06,us
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/business/boeing-737-production.html,Boeing to Cut Production of 737 Max After 2 Fatal Crashes,2019/04/06,business
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/your-money/mark-begor-equifax-ceo-interview.html,The New Equifax Boss Wants to Make Amends. We Have Some Questions.,2019/04/06,
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/06/nyregion/rocky-chuck-wepner-muhammad-ali.html,‘Rocky’ Has a Statue in Philadelphia. Now the ‘Real Rocky’ Will Get One in Jersey.,2019/04/06,nyregion
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/arts/music/kurt-cobain-nirvana-death.html,"Kurt Cobain: What to Read and Watch, 25 Years After the Nirvana Leader’s Death",2019/04/06,arts
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/06/sports/final-four-auburn-virginia-bruce-pearl.html,Bruce Pearl at Auburn: Rebirth of a Salesman,2019/04/06,sports
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/obituaries/dan-robbins-dead.html,"Dan Robbins, Who Made Painting as Easy as 1-2-3 (and 4-5-6), Dies at 93",2019/04/06,obituaries
https://www.nytimes.com/issue/todayspaper/2019/04/06/todays-new-york-times,/2019/04/05/obituaries/sydney-brenner-dead.html,"Sydney Brenner, a Decipherer of the Genetic Code, Is Dead at 92",2019/04/06,obituaries
https://www.nytimes.com/issue/todayspaper/2019/04/07/todays-new-york-times,/2019/04/06/health/drug-resistant-candida-auris.html,"A Mysterious Infection, Spanning the Globe in a Climate of Secrecy",2019/04/07,health
https://www.nytimes.com/issue/todayspaper/2019/04/07/todays-new-york-times,/2019/04/06/world/americas/brazil-soccer-fire.html,Fiery Deaths of 10 Boys Exposes Brutality of Brazil’s Soccer Mills,2019/04/07,world
https://www.nytimes.com/issue/todayspaper/2019/04/07/todays-new-york-times,/2019/04/06/upshot/fed-moore-cain-risk-partisanship.html,What’s at Risk if the Fed Becomes as Partisan as the Rest of Washington,2019/04/07,upshot
https://www.nytimes.com/issue/todayspaper/2019/04/07/todays-new-york-times,/2019/04/06/us/politics/biden-2020.html,Biden Didn’t Rush Into 2020. The Race Came to Him Anyway.,2019/04/07,us
https://www.nytimes.com/issue/todayspaper/2019/04/07/todays-new-york-times,/2019/04/07/us/trash-pickers-san-francisco-zuckerberg.html,"In San Francisco, Making a Living From Your Billionaire Neighbor’s Trash",2019/04/07,us
https://www.nytimes.com/issue/todayspaper/2019/04/07/todays-new-york-times,/2019/04/06/world/europe/france-china-wine.html,"As Chinese Buy French Vineyards, Names Like Château Imperial Rabbit Rattle Purists",2019/04/07,world
https://www.nytimes.com/issue/todayspaper/2019/04/07/todays-new-york-times,/2019/04/05/us/boeing-seattle.html,"‘They Will Bounce Back’: In Seattle, Where the Boeing Max Is Built, They’ve Recovered Before",2019/04/07,us
https://www.nytimes.com/issue/todayspaper/2019/04/07/todays-new-york-times,/2019/04/06/obituaries/ernest-hollings-dead.html,"Ernest Hollings, 97, a South Carolina Senator Who Evolved, Is Dead",2019/04/07,obituaries
https://www.nytimes.com/issue/todayspaper/2019/04/07/todays-new-york-times,/2019/04/06/sports/ncaa-final-four-virginia-auburn.html,"N.C.A.A. Final Four: A Shot, a Whistle and a First Final for Virginia",2019/04/07,sports
https://www.nytimes.com/issue/todayspaper/2019/04/07/todays-new-york-times,/2019/04/06/sports/ncaa-final-four-michigan-state-texas-tech.html,N.C.A.A. Final Four: Texas Tech Upsets Michigan State,2019/04/07,sports
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/07/us/politics/kirstjen-nielsen-dhs-resigns.html,Kirstjen Nielsen Resigns as Trump’s Homeland Security Secretary,2019/04/08,us
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/07/world/middleeast/israel-election-netanyahu-west-bank.html,"As Netanyahu Seeks Re-election, the Future of the West Bank Is Now on the Ballot",2019/04/08,world
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/07/health/antibiotic-resistance-kenya-drugs.html,"In a Poor Kenyan Community, Cheap Antibiotics Fuel Deadly Drug-Resistant Infections",2019/04/08,health
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/07/world/asia/china-xi-jinping-study-the-great-nation-app.html,"The Hottest App in China Teaches Citizens About Their Leader — and, Yes, There’s a Test",2019/04/08,world
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/07/us/puerto-rico-trump-vieques.html,Hunger and an ‘Abandoned’ Hospital: Puerto Rico Waits as Washington Bickers,2019/04/08,us
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/07/us/usa-democracy.html,Is the U.S. a Democracy? A Social Studies Battle Turns on the Nation’s Values,2019/04/08,us
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/07/world/asia/philippines-illegal-guns.html,A Family Craft With a Deadly Toll: Illegal Gun Making,2019/04/08,world
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/07/world/europe/poland-gay-rights.html,Poland’s Populists Pick a New Top Enemy: Gay People,2019/04/08,world
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/interactive/2019/04/05/us/politics/2020-democrats-campaign-stops.html,Democratic Candidates Visited 115 Cities Across 20 States in One Month,2019/04/08,us
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/08/nyregion/sandy-hook-gun-lawsuit.html,How Sandy Hook Families Hope to Pierce the Gun Industry’s Legal Shield,2019/04/08,nyregion
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/08/nyregion/trump-tax-returns-ny-state.html,"To Get Trump’s Tax Returns, N.Y. Democrats Try a New Strategy",2019/04/08,nyregion
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/07/business/energy-environment/climate-change-carbon-engineering.html,"Blamed for Climate Change, Oil Companies Invest in Carbon Removal",2019/04/08,business
https://www.nytimes.com/issue/todayspaper/2019/04/08/todays-new-york-times,/2019/04/07/business/media/movie-rentals-red-carpet-home-cinema.html,"$3,000 to Rent a Movie? Bringing the Theater Home for the 1 Percent",2019/04/08,business
