date,link,titles,news_date,category
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/world/europe/trump-banquet-meghan-markle-sadiq-khan.html,Trump Insults London Mayor as ‘Loser’ as He Pays Tribute to the Queen,2019/06/04,world
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/us/politics/biden-1988-presidential-campaign.html,Biden’s First Run for President Was a Calamity. Some Missteps Still Resonate.,2019/06/04,us
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/world/americas/mexico-migration-crackdown.html,"Mexico Cracks Down on Migrants, After Pressure From Trump to Act",2019/06/04,world
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/interactive/2019/06/03/nyregion/nyc-public-schools-black-hispanic-students.html,How New York’s Elite Public Schools Lost Their Black and Hispanic Students,2019/06/04,nyregion
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/us/politics/john-boehner-marijuana-cannabis.html,John Boehner: From Speaker of the House to Cannabis Pitchman,2019/06/04,us
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/technology/elizabeth-warren-big-tech-break-up.html,Elizabeth Warren Sticks Her Message in Big Tech’s Face,2019/06/04,technology
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/business/tariffs-trump-mexico-china.html,"Trump’s Tariffs Could Nullify Tax Cut, Clouding Economic Picture",2019/06/04,business
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/us/midwest-floods.html,"In the Midwest, Relentless Floods Dredge Up ‘Shadow’ of 1993",2019/06/04,us
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/us/politics/disaster-aid-congress.html,Congress Gives Final Approval to Long-Delayed Disaster Aid,2019/06/04,us
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/business/trump-panama-hotel-tax-evasion.html,A Former Business Partner Alleges the Trumps Evaded Taxes in Panama,2019/06/04,business
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/world/americas/youtube-pedophiles.html,"On YouTube’s Digital Playground, an Open Gate for Pedophiles",2019/06/04,world
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/world/asia/tiananmen-massacre-anniversary-archive.html,"‘In the Streets, Anguish, Fury and Tears’",2019/06/04,world
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/sports/03tennis-coaches.html,"In Tennis, Choosing a Woman as a Coach Is Still a ‘Bold Move’",2019/06/04,sports
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/technology/itunes-shutting-down.html,A Farewell for iTunes,2019/06/04,technology
https://www.nytimes.com/issue/todayspaper/2019/06/04/todays-new-york-times,/2019/06/03/business/media/abortion-laws-hollywood.html,Hollywood Producer Seeks to Raise Funds to Battle Anti-Abortion Laws,2019/06/04,business
